Date,Open,High,Low,Close,Volume
12-Dec-14,17.37,17.45,17.13,17.13,88886701
11-Dec-14,17.44,17.65,17.44,17.47,80173209
10-Dec-14,17.48,17.68,17.37,17.38,103611138
9-Dec-14,17.18,17.59,17.17,17.56,95965217
8-Dec-14,17.66,17.87,17.51,17.66,101035132
5-Dec-14,17.41,17.71,17.35,17.68,131823990
4-Dec-14,17.24,17.34,17.13,17.21,49773593
3-Dec-14,17.10,17.30,17.06,17.29,70104217
2-Dec-14,16.87,17.15,16.86,17.15,62945173
1-Dec-14,16.92,16.94,16.73,16.79,61173148
28-Nov-14,17.07,17.15,17.03,17.04,27834925
26-Nov-14,17.12,17.15,17.04,17.11,27358440
25-Nov-14,17.23,17.26,17.08,17.10,44786324
24-Nov-14,17.16,17.28,17.08,17.18,52785687
21-Nov-14,17.15,17.19,17.06,17.12,62999975
20-Nov-14,16.96,17.01,16.83,17.00,49652114
19-Nov-14,17.14,17.15,17.01,17.06,49441553
18-Nov-14,17.07,17.22,17.06,17.14,39490695
17-Nov-14,17.06,17.14,16.97,17.09,43393347
14-Nov-14,17.16,17.25,17.10,17.14,41144632
13-Nov-14,17.28,17.30,17.12,17.22,50586273
12-Nov-14,17.24,17.30,17.07,17.29,48669101
11-Nov-14,17.37,17.46,17.30,17.32,62236029
10-Nov-14,17.36,17.40,17.30,17.37,54261121
7-Nov-14,17.31,17.38,17.22,17.36,53907826
6-Nov-14,17.34,17.40,17.28,17.36,57339203
5-Nov-14,17.32,17.37,17.21,17.34,58608232
4-Nov-14,17.22,17.30,17.02,17.21,53515435
3-Nov-14,17.18,17.35,17.10,17.27,64109402
31-Oct-14,17.17,17.22,17.10,17.16,82788923
30-Oct-14,16.96,17.12,16.84,17.03,72579120
29-Oct-14,16.77,17.02,16.71,16.99,99875657
28-Oct-14,16.62,16.80,16.61,16.80,71850839
27-Oct-14,16.68,16.69,16.50,16.59,51499970
24-Oct-14,16.63,16.72,16.56,16.72,41951414
23-Oct-14,16.58,16.73,16.52,16.60,68436551
22-Oct-14,16.59,16.70,16.37,16.40,85199795
21-Oct-14,16.43,16.61,16.31,16.60,78287334
20-Oct-14,16.20,16.33,16.16,16.26,76510730
17-Oct-14,16.25,16.41,16.16,16.21,94339180
16-Oct-14,15.61,16.25,15.52,16.08,148199432
15-Oct-14,16.23,16.24,15.43,15.76,216591804
14-Oct-14,16.51,16.63,16.36,16.52,97451881
13-Oct-14,16.48,16.67,16.40,16.40,92674130
10-Oct-14,16.52,16.77,16.36,16.48,129552650
9-Oct-14,17.04,17.11,16.55,16.59,121363088
8-Oct-14,16.88,17.12,16.72,17.12,101266804
7-Oct-14,17.18,17.20,16.88,16.88,91396327
6-Oct-14,17.37,17.41,17.22,17.29,66212066
3-Oct-14,17.11,17.30,17.06,17.29,110840569
2-Oct-14,16.86,16.99,16.63,16.88,118018774
1-Oct-14,17.07,17.09,16.80,16.82,91235935
30-Sep-14,17.08,17.11,16.97,17.05,82217388
29-Sep-14,16.91,17.05,16.88,17.01,68038311
26-Sep-14,16.91,17.05,16.89,17.03,66785876
25-Sep-14,17.16,17.18,16.85,16.85,104522487
24-Sep-14,17.12,17.19,16.97,17.18,86396124
23-Sep-14,17.05,17.20,17.03,17.05,91921935
22-Sep-14,17.09,17.17,16.99,17.03,109276696
19-Sep-14,17.15,17.17,16.88,16.95,88455049
18-Sep-14,16.88,17.15,16.87,17.04,111923229
17-Sep-14,16.71,16.93,16.68,16.77,82902719
16-Sep-14,16.67,16.84,16.67,16.71,65017235
15-Sep-14,16.80,16.93,16.62,16.74,87306899
12-Sep-14,16.62,16.83,16.61,16.79,117118283
11-Sep-14,16.32,16.63,16.30,16.57,106951724
10-Sep-14,16.16,16.40,16.13,16.36,75656101
9-Sep-14,16.25,16.26,16.10,16.14,82428852
8-Sep-14,16.19,16.37,16.15,16.35,99411156
5-Sep-14,16.05,16.07,15.90,16.02,80974901
4-Sep-14,16.10,16.27,16.04,16.11,56378610
3-Sep-14,16.27,16.28,16.04,16.10,67418919
2-Sep-14,16.14,16.28,16.06,16.27,59400412
29-Aug-14,16.04,16.14,16.02,16.09,50106605
28-Aug-14,16.10,16.10,15.99,16.01,62170376
27-Aug-14,16.37,16.39,16.14,16.20,63061789
26-Aug-14,16.34,16.46,16.32,16.33,73323418
25-Aug-14,16.27,16.40,16.20,16.29,89396509
22-Aug-14,16.16,16.29,16.05,16.13,107641751
21-Aug-14,15.69,16.22,15.62,16.16,177294357
20-Aug-14,15.41,15.63,15.37,15.52,57824956
19-Aug-14,15.52,15.65,15.44,15.45,44825522
18-Aug-14,15.28,15.45,15.27,15.45,54968626
15-Aug-14,15.34,15.41,15.14,15.22,61535490
14-Aug-14,15.26,15.32,15.26,15.32,29934562
13-Aug-14,15.25,15.29,15.20,15.25,34394601
12-Aug-14,15.18,15.30,15.15,15.21,33674350
11-Aug-14,15.26,15.27,15.15,15.22,41545118
8-Aug-14,15.08,15.20,14.99,15.20,54495011
7-Aug-14,15.44,15.44,15.09,15.12,80058315
6-Aug-14,15.14,15.36,15.14,15.20,95977855
5-Aug-14,15.01,15.20,14.90,15.00,65071526
4-Aug-14,15.06,15.12,14.98,15.05,51954672
1-Aug-14,15.18,15.39,14.84,14.98,115978873
31-Jul-14,15.44,15.55,15.25,15.25,70677323
30-Jul-14,15.43,15.66,15.31,15.58,83243060
29-Jul-14,15.52,15.53,15.34,15.34,51480454
28-Jul-14,15.58,15.61,15.46,15.50,39322309
25-Jul-14,15.58,15.63,15.55,15.59,35627167
24-Jul-14,15.56,15.64,15.55,15.62,46549768
23-Jul-14,15.52,15.63,15.51,15.52,47253265
22-Jul-14,15.59,15.62,15.47,15.52,58331052
21-Jul-14,15.42,15.55,15.36,15.52,61802195
18-Jul-14,15.27,15.50,15.25,15.49,74859177
17-Jul-14,15.45,15.48,15.13,15.20,114839948
16-Jul-14,15.66,15.66,15.43,15.51,123897391
15-Jul-14,15.75,15.85,15.66,15.81,100196217
14-Jul-14,15.62,15.67,15.52,15.57,59181661
11-Jul-14,15.39,15.43,15.30,15.38,56849387
10-Jul-14,15.33,15.53,15.25,15.44,61458471
9-Jul-14,15.62,15.69,15.54,15.60,46415844
8-Jul-14,15.82,15.83,15.52,15.58,73343353
7-Jul-14,15.99,16.00,15.83,15.94,62437058
3-Jul-14,16.07,16.23,16.00,16.03,70582291
2-Jul-14,15.78,16.03,15.76,15.85,87685843
1-Jul-14,15.38,15.65,15.38,15.60,74193538
30-Jun-14,15.31,15.45,15.29,15.37,47776848
27-Jun-14,15.38,15.42,15.31,15.33,58149183
26-Jun-14,15.44,15.53,15.27,15.41,68519602
25-Jun-14,15.45,15.49,15.28,15.47,71766365
24-Jun-14,15.56,15.70,15.44,15.49,73262475
23-Jun-14,15.47,15.65,15.38,15.64,58492242
20-Jun-14,15.63,15.63,15.44,15.45,54765268
19-Jun-14,15.66,15.67,15.50,15.55,40953928
18-Jun-14,15.63,15.69,15.44,15.65,70220339
17-Jun-14,15.26,15.62,15.26,15.59,58011594
16-Jun-14,15.30,15.31,15.18,15.28,55425378
13-Jun-14,15.46,15.55,15.33,15.44,61588127
12-Jun-14,15.57,15.66,15.38,15.42,66173155
11-Jun-14,15.69,15.82,15.55,15.59,73729322
10-Jun-14,15.78,15.94,15.73,15.92,49852855
9-Jun-14,15.60,15.88,15.60,15.84,78647895
6-Jun-14,15.45,15.65,15.43,15.59,73930478
5-Jun-14,15.28,15.48,15.22,15.43,60300456
4-Jun-14,15.19,15.26,15.15,15.21,39757265
3-Jun-14,15.20,15.28,15.11,15.21,49025413
2-Jun-14,15.16,15.28,15.05,15.26,46373953
30-May-14,15.12,15.23,15.07,15.14,45787134
29-May-14,15.12,15.21,15.10,15.15,39423038
28-May-14,15.27,15.28,15.03,15.14,72481688
27-May-14,15.00,15.31,14.98,15.22,125398936
23-May-14,14.71,14.81,14.65,14.72,51648948
22-May-14,14.58,14.72,14.55,14.71,51929418
21-May-14,14.59,14.71,14.50,14.61,64808554
20-May-14,14.65,14.69,14.48,14.53,60108208
19-May-14,14.42,14.70,14.38,14.67,51034696
16-May-14,14.51,14.54,14.37,14.51,80476129
15-May-14,14.82,14.83,14.39,14.55,104192968
14-May-14,14.99,15.02,14.81,14.84,52431852
13-May-14,15.04,15.10,14.94,15.03,58469055
12-May-14,14.79,15.10,14.79,15.07,70669928
9-May-14,14.95,14.99,14.67,14.74,86751616
8-May-14,14.85,15.04,14.80,14.93,65232716
7-May-14,14.86,14.92,14.75,14.80,91733037
6-May-14,15.03,15.03,14.72,14.73,96268311
5-May-14,15.08,15.13,15.02,15.08,51669134
2-May-14,15.18,15.29,15.10,15.25,73562859
1-May-14,15.14,15.22,15.03,15.09,68368291
30-Apr-14,15.26,15.27,15.13,15.14,82359669
