Date,Open,High,Low,Close,Volume
12-Dec-14,53.98,54.35,53.23,53.40,23143922
11-Dec-14,54.65,55.22,54.42,54.51,20641339
10-Dec-14,55.51,55.92,54.35,54.47,22464076
9-Dec-14,55.44,56.14,54.69,55.85,26262896
8-Dec-14,55.98,56.95,55.75,56.37,21802391
5-Dec-14,55.52,56.49,55.46,56.08,21945929
4-Dec-14,54.97,55.43,54.69,55.18,13412073
3-Dec-14,54.47,55.28,54.31,55.21,21221482
2-Dec-14,53.51,54.47,53.51,54.36,15964282
1-Dec-14,53.80,53.91,53.04,53.35,13825739
28-Nov-14,54.00,54.18,53.83,53.97,5876805
26-Nov-14,54.45,54.48,54.00,54.13,8704740
25-Nov-14,54.40,54.52,54.06,54.33,13212133
24-Nov-14,53.94,54.49,53.76,54.40,13733893
21-Nov-14,54.07,54.35,53.61,53.66,15142165
20-Nov-14,53.25,53.57,53.11,53.52,9721934
19-Nov-14,53.83,53.83,53.38,53.66,8664949
18-Nov-14,53.56,54.17,53.51,53.81,12910597
17-Nov-14,53.06,53.64,53.05,53.57,10191856
14-Nov-14,53.31,53.60,53.26,53.38,11345455
13-Nov-14,53.48,53.58,52.98,53.44,12668376
12-Nov-14,53.34,53.62,53.07,53.42,10271824
11-Nov-14,53.90,54.09,53.76,53.81,9526570
10-Nov-14,53.57,53.89,53.54,53.89,11235530
7-Nov-14,53.86,54.01,53.54,53.75,13479162
6-Nov-14,53.97,54.30,53.81,53.99,13621277
5-Nov-14,53.59,54.11,53.26,54.02,18546189
4-Nov-14,53.28,53.32,52.63,53.19,13618005
3-Nov-14,53.42,53.75,53.02,53.47,12123477
31-Oct-14,53.40,53.90,52.99,53.53,27642752
30-Oct-14,52.62,53.40,52.34,53.15,21027719
29-Oct-14,52.48,52.74,52.09,52.65,16326730
28-Oct-14,51.64,52.52,51.64,52.44,16537970
27-Oct-14,51.48,51.65,51.17,51.59,12134906
24-Oct-14,51.44,51.87,51.37,51.80,13286272
23-Oct-14,51.25,51.90,51.09,51.41,15169077
22-Oct-14,51.27,51.80,50.68,50.70,16665456
21-Oct-14,51.04,51.49,50.75,51.27,17801537
20-Oct-14,50.03,50.62,49.96,50.53,13796840
17-Oct-14,50.49,50.72,49.74,50.07,21977898
16-Oct-14,48.98,50.21,48.74,49.75,28300631
15-Oct-14,50.90,50.93,48.11,49.68,55398298
14-Oct-14,51.15,51.63,50.44,51.47,41371905
13-Oct-14,50.14,50.87,49.86,49.90,26025938
10-Oct-14,50.93,51.29,50.11,50.11,27770782
9-Oct-14,52.48,52.48,51.01,51.14,22426913
8-Oct-14,51.21,52.60,51.18,52.54,23361418
7-Oct-14,51.99,52.07,51.27,51.27,16840064
6-Oct-14,52.57,52.66,52.13,52.28,12675509
3-Oct-14,51.71,52.43,51.64,52.32,17717817
2-Oct-14,50.94,51.52,50.66,51.25,18394352
1-Oct-14,51.68,51.85,50.89,51.10,20762064
30-Sep-14,52.08,52.49,51.63,51.82,21787720
29-Sep-14,51.75,52.26,51.32,52.05,13010419
26-Sep-14,51.99,52.59,51.96,52.49,10481508
25-Sep-14,53.23,53.27,51.96,51.96,19267206
24-Sep-14,52.90,53.32,52.49,53.26,15611620
23-Sep-14,52.74,53.25,52.74,52.84,14586137
22-Sep-14,53.44,53.74,52.96,53.04,16657044
19-Sep-14,53.98,54.13,53.26,53.48,22154768
18-Sep-14,52.70,53.90,52.48,53.66,27309035
17-Sep-14,52.32,53.05,52.22,52.39,20380500
