Date,Open,High,Low,Close,Volume
12-Dec-14,60.53,61.22,59.96,60.04,17405430
11-Dec-14,61.17,62.06,61.11,61.14,16886249
10-Dec-14,62.16,62.24,60.37,60.68,29620579
9-Dec-14,61.85,62.85,61.56,62.45,19676435
8-Dec-14,62.60,63.16,62.26,62.67,15535482
5-Dec-14,62.01,63.06,61.88,62.70,20071134
4-Dec-14,61.10,61.57,60.84,61.38,11542085
3-Dec-14,60.96,61.62,60.81,61.54,12115506
2-Dec-14,60.01,61.19,60.00,61.08,12546594
1-Dec-14,59.98,60.21,59.55,60.00,12771602
28-Nov-14,60.40,60.56,60.03,60.16,6759646
26-Nov-14,60.57,60.57,60.20,60.34,7628731
25-Nov-14,61.16,61.16,59.95,60.30,14802617
24-Nov-14,60.70,61.30,60.70,60.96,8335037
21-Nov-14,61.07,61.07,60.30,60.45,12340450
20-Nov-14,60.20,60.25,59.75,60.12,10917299
19-Nov-14,60.45,60.79,60.15,60.60,9210079
18-Nov-14,60.35,60.82,60.20,60.53,8899839
17-Nov-14,60.00,60.53,59.89,60.38,9017649
14-Nov-14,60.25,60.62,60.18,60.28,6803396
13-Nov-14,60.50,60.63,59.99,60.23,12240366
12-Nov-14,60.42,60.84,60.23,60.56,17219648
11-Nov-14,61.71,61.89,61.29,61.37,12539830
10-Nov-14,61.25,61.93,61.20,61.93,10800981
7-Nov-14,61.07,61.55,60.86,61.47,12384620
6-Nov-14,61.08,61.31,60.63,61.23,10421612
5-Nov-14,60.80,61.23,60.39,61.15,14063812
4-Nov-14,60.24,60.37,59.42,60.25,15295771
3-Nov-14,60.79,61.15,60.36,60.88,11854189
31-Oct-14,60.12,60.54,59.87,60.48,18351059
30-Oct-14,58.94,59.68,58.92,59.39,14709756
29-Oct-14,59.62,59.78,58.76,59.29,16715852
28-Oct-14,58.87,59.69,58.81,59.63,13625017
27-Oct-14,58.45,58.79,58.25,58.64,11087209
24-Oct-14,58.00,58.78,58.00,58.74,13757981
23-Oct-14,58.12,58.60,57.94,58.06,12641874
22-Oct-14,58.04,58.26,57.44,57.45,13750741
21-Oct-14,57.23,58.01,57.08,57.93,14020373
20-Oct-14,56.10,56.75,56.07,56.63,10808475
17-Oct-14,55.73,56.78,55.57,56.20,20183543
16-Oct-14,54.75,55.98,54.28,55.08,31970014
15-Oct-14,57.02,57.38,54.26,55.53,37866911
14-Oct-14,56.69,58.52,56.06,57.99,29096840
13-Oct-14,58.50,59.14,58.11,58.16,17169312
10-Oct-14,59.03,59.82,58.51,58.52,16690858
9-Oct-14,60.33,60.33,58.89,59.08,19191404
8-Oct-14,59.36,60.43,59.18,60.40,15834553
7-Oct-14,59.92,59.92,59.18,59.27,14542010
6-Oct-14,60.78,60.80,60.00,60.18,11578147
3-Oct-14,59.25,60.38,59.05,60.30,18321078
2-Oct-14,59.15,59.49,58.61,58.84,24561606
1-Oct-14,60.24,60.40,59.73,59.77,18995987
30-Sep-14,60.40,60.74,60.13,60.24,14384783
29-Sep-14,60.03,60.50,59.73,60.33,10694938
26-Sep-14,60.33,60.88,60.32,60.56,11948887
25-Sep-14,61.49,61.50,60.15,60.15,16346724
24-Sep-14,61.18,61.64,61.02,61.63,13728243
23-Sep-14,60.82,61.40,60.77,60.94,14335620
22-Sep-14,60.94,61.45,60.80,60.91,13225164
19-Sep-14,61.74,61.85,60.98,61.11,18740479
18-Sep-14,60.54,61.40,60.54,61.32,16973697
17-Sep-14,59.95,60.59,59.82,60.31,15092042
16-Sep-14,59.71,60.20,59.62,59.99,10950516
15-Sep-14,59.78,59.99,59.45,59.94,10685630
12-Sep-14,59.80,60.41,59.75,60.03,14373722
11-Sep-14,59.18,59.84,58.97,59.76,11468573
10-Sep-14,59.15,59.56,58.92,59.22,9157691
9-Sep-14,59.63,59.68,58.78,59.06,14868683
8-Sep-14,59.84,60.22,59.74,59.89,8090047
5-Sep-14,59.62,59.91,59.22,59.91,9600894
4-Sep-14,59.63,60.14,59.43,59.71,9811903
3-Sep-14,60.02,60.37,59.46,59.70,11792109
2-Sep-14,59.46,59.71,59.15,59.67,8678222
29-Aug-14,59.34,59.65,59.23,59.45,8903530
28-Aug-14,59.25,59.37,58.81,59.16,9096101
27-Aug-14,59.85,59.95,59.53,59.59,11410860
26-Aug-14,59.57,59.95,59.38,59.74,10281087
25-Aug-14,58.98,59.83,58.86,59.34,13996764
22-Aug-14,58.44,59.08,58.33,58.49,10228569
21-Aug-14,57.66,58.77,57.60,58.50,12745499
20-Aug-14,57.42,57.85,57.39,57.64,8121363
19-Aug-14,57.60,57.72,57.34,57.56,9040484
18-Aug-14,56.86,57.43,56.76,57.23,8881423
15-Aug-14,57.24,57.50,56.39,56.75,12727664
14-Aug-14,56.77,57.00,56.70,56.98,8275920
13-Aug-14,56.69,56.84,56.51,56.72,7019479
12-Aug-14,56.23,56.55,56.13,56.35,11290657
11-Aug-14,56.54,56.58,56.17,56.32,9066796
8-Aug-14,55.89,56.36,55.64,56.34,12213225
7-Aug-14,56.63,56.69,55.68,55.91,11743838
6-Aug-14,55.89,56.69,55.83,56.23,12192567
5-Aug-14,56.43,56.60,55.60,56.06,16863698
4-Aug-14,56.91,56.98,56.34,56.65,13547228
1-Aug-14,57.39,57.49,55.97,56.48,23916665
31-Jul-14,58.65,58.68,57.66,57.67,15958788
30-Jul-14,59.02,59.28,58.61,58.91,11821992
29-Jul-14,59.13,59.13,58.44,58.64,13498827
28-Jul-14,58.94,59.26,58.67,59.19,12383894
25-Jul-14,58.92,59.27,58.84,59.01,10500572
24-Jul-14,59.07,59.35,58.99,59.17,9844323
23-Jul-14,58.76,59.19,58.52,59.00,11122085
22-Jul-14,58.42,58.80,58.37,58.67,10376795
21-Jul-14,58.12,58.41,57.90,58.24,9148506
18-Jul-14,58.33,58.48,57.90,58.23,12803917
17-Jul-14,58.56,58.86,57.76,57.86,17015955
16-Jul-14,58.51,58.98,58.31,58.71,20515604
15-Jul-14,57.95,58.69,57.76,58.27,36219126
14-Jul-14,56.53,56.84,56.20,56.29,14011991
11-Jul-14,55.29,55.90,55.19,55.80,10236860
10-Jul-14,55.06,55.81,54.96,55.56,12436589
9-Jul-14,55.88,56.12,55.61,56.02,10914251
8-Jul-14,56.35,56.47,55.63,55.76,18345729
7-Jul-14,56.89,56.99,56.40,56.67,13918743
3-Jul-14,57.23,57.65,57.00,57.05,12599842
2-Jul-14,57.27,57.48,56.82,56.97,19199260
1-Jul-14,57.15,57.99,57.08,57.57,14472160
30-Jun-14,57.44,57.78,57.38,57.62,11549859
27-Jun-14,57.33,57.70,57.24,57.53,10178566
26-Jun-14,57.34,57.49,56.60,57.39,11854621
25-Jun-14,57.22,57.74,56.87,57.53,14843900
24-Jun-14,57.88,58.12,57.30,57.42,12323320
23-Jun-14,57.54,58.22,57.24,58.19,16009479
20-Jun-14,57.69,57.77,57.35,57.55,17126425
19-Jun-14,57.69,57.69,57.21,57.30,11624383
18-Jun-14,57.29,57.81,56.95,57.78,13737143
17-Jun-14,56.79,57.59,56.68,57.42,11200522
16-Jun-14,56.85,56.95,56.33,56.87,11199075
13-Jun-14,57.03,57.67,56.88,57.04,12044435
12-Jun-14,57.07,57.42,56.87,57.04,11677911
11-Jun-14,57.48,57.79,56.98,57.27,14232171
10-Jun-14,57.47,57.94,57.39,57.90,11609169
9-Jun-14,56.91,57.66,56.90,57.42,12000038
6-Jun-14,56.76,57.13,56.65,56.97,15399844
5-Jun-14,55.91,56.66,55.49,56.63,16804644
4-Jun-14,55.52,55.72,55.25,55.68,9728053
3-Jun-14,55.09,55.66,55.09,55.60,9132297
2-Jun-14,55.65,55.65,55.02,55.35,9440042
30-May-14,55.58,55.88,55.31,55.57,11991312
29-May-14,55.75,55.92,55.39,55.72,11741707
28-May-14,55.09,55.60,55.00,55.45,11374958
27-May-14,54.75,55.43,54.69,55.14,14503732
23-May-14,54.55,54.58,54.16,54.53,10878697
22-May-14,54.17,54.60,54.02,54.55,11801568
21-May-14,54.05,54.60,53.98,54.12,13210922
20-May-14,53.72,54.04,53.41,53.72,16888227
19-May-14,53.08,53.91,53.06,53.83,12068854
16-May-14,53.42,53.51,52.97,53.31,19993160
15-May-14,54.20,54.20,53.35,53.51,19763012
14-May-14,54.64,54.70,54.30,54.36,10334933
13-May-14,54.74,54.83,54.50,54.62,12310881
12-May-14,54.27,54.70,54.03,54.65,12825906
9-May-14,54.22,54.31,53.68,54.01,12366481
8-May-14,54.20,54.53,54.06,54.36,16091486
7-May-14,53.55,54.12,53.24,54.05,18503048
6-May-14,54.04,54.06,53.32,53.34,25327415
5-May-14,53.88,54.74,53.70,54.22,25237392
2-May-14,55.83,56.37,55.44,55.58,15153795
1-May-14,55.92,56.19,55.50,55.72,12744643
30-Apr-14,56.24,56.35,55.72,55.98,14388102
29-Apr-14,55.73,56.30,55.57,56.10,13453407
28-Apr-14,55.63,55.70,54.68,55.49,21394062
25-Apr-14,56.31,56.35,55.64,55.70,15939621
24-Apr-14,56.07,56.26,55.61,56.19,15368188
23-Apr-14,55.80,56.12,55.56,56.05,11381029
22-Apr-14,55.04,56.08,54.94,55.81,16265271
21-Apr-14,55.26,55.41,54.99,55.03,12384757
17-Apr-14,55.34,55.57,55.01,55.22,17955801
16-Apr-14,55.00,55.35,54.69,55.26,27050795
15-Apr-14,55.09,55.64,54.35,54.80,26693846
14-Apr-14,55.85,55.94,54.48,54.96,31081491
11-Apr-14,55.18,56.05,54.55,55.30,47248387
10-Apr-14,59.35,59.39,57.38,57.40,29977179
9-Apr-14,59.10,59.45,58.50,59.27,15308441
8-Apr-14,58.80,59.02,58.25,58.85,16956476
7-Apr-14,59.69,60.00,58.84,59.00,18685680
4-Apr-14,61.02,61.06,59.80,59.81,16966909
3-Apr-14,60.65,60.80,60.28,60.66,11925208
2-Apr-14,60.37,60.77,60.20,60.48,14012233
1-Apr-14,60.95,61.29,60.37,60.67,14586580
31-Mar-14,60.83,61.02,60.60,60.71,15216691
28-Mar-14,60.21,60.59,59.68,60.04,14708741
27-Mar-14,59.94,60.55,59.02,59.92,24632614
26-Mar-14,61.24,61.40,59.89,59.90,22745202
25-Mar-14,61.11,61.48,60.56,60.93,24053467
24-Mar-14,60.37,61.19,60.35,61.07,25810459
21-Mar-14,60.96,61.20,60.00,60.17,35151970
20-Mar-14,58.36,60.49,58.13,60.11,33736470
19-Mar-14,57.99,58.93,57.89,58.30,21450652
18-Mar-14,57.82,58.16,57.62,58.06,12554754
17-Mar-14,57.21,57.70,57.05,57.58,13589185
14-Mar-14,57.11,57.53,56.62,56.80,18635842
13-Mar-14,58.00,58.34,57.19,57.42,17192490
12-Mar-14,57.70,57.96,57.42,57.92,17937197
11-Mar-14,59.42,59.45,58.13,58.19,19436589
10-Mar-14,59.14,59.48,58.86,59.20,16965386
7-Mar-14,59.35,59.80,59.07,59.40,18615141
6-Mar-14,58.51,59.09,58.40,58.90,19430068
5-Mar-14,57.48,58.29,57.36,58.16,17762232
4-Mar-14,56.95,57.36,56.64,57.26,17174334
3-Mar-14,56.30,56.42,55.69,56.21,19154871
28-Feb-14,56.57,57.45,56.39,56.82,18599829
27-Feb-14,56.78,56.89,56.14,56.69,16285365
26-Feb-14,57.37,57.38,56.22,56.75,23674645
25-Feb-14,57.90,57.98,56.92,57.03,17996128
24-Feb-14,57.62,58.23,57.58,58.03,16211245
21-Feb-14,57.59,57.84,57.37,57.61,16790791
20-Feb-14,57.53,57.97,57.27,57.58,12463670
19-Feb-14,58.36,58.54,57.22,57.26,18687923
18-Feb-14,58.02,58.65,57.90,58.49,14992626
14-Feb-14,57.89,58.23,57.75,58.15,13186804
