Date,Open,High,Low,Close,Volume
12-Dec-14,15.45,15.65,15.26,15.27,6339
11-Dec-14,15.41,15.85,15.35,15.55,8640
10-Dec-14,15.61,15.61,15.40,15.42,3411
9-Dec-14,15.41,15.64,15.30,15.64,7699
8-Dec-14,15.57,15.66,15.47,15.63,4090
5-Dec-14,15.41,15.70,15.41,15.70,8208
4-Dec-14,15.57,15.64,15.35,15.54,3670
3-Dec-14,16.00,16.00,15.51,15.65,4310
2-Dec-14,15.81,15.84,15.65,15.74,8502
1-Dec-14,15.98,15.98,15.63,15.77,4244
28-Nov-14,15.88,15.88,15.73,15.78,2180
26-Nov-14,15.87,15.96,15.73,15.80,5923
25-Nov-14,15.88,15.88,15.69,15.80,9396
24-Nov-14,15.37,15.99,15.35,15.99,10261
21-Nov-14,15.60,15.60,15.25,15.40,8601
20-Nov-14,15.70,15.70,15.50,15.61,11512
19-Nov-14,15.69,15.79,15.58,15.69,4433
18-Nov-14,15.66,15.76,15.56,15.66,7558
17-Nov-14,15.77,15.77,15.57,15.67,4128
14-Nov-14,15.88,15.88,15.76,15.76,3011
13-Nov-14,15.95,15.95,15.57,15.87,8189
12-Nov-14,15.85,16.71,15.85,15.97,10256
11-Nov-14,16.44,16.44,15.99,15.99,6149
10-Nov-14,16.01,16.75,16.01,16.36,5917
7-Nov-14,16.30,16.50,15.71,16.00,15316
6-Nov-14,16.43,16.43,16.01,16.22,4588
5-Nov-14,15.67,16.75,15.65,16.14,16961
4-Nov-14,15.60,15.85,15.45,15.54,10790
3-Nov-14,14.65,15.84,14.65,15.50,58010
31-Oct-14,14.66,14.74,14.55,14.57,6003
30-Oct-14,14.79,14.79,14.53,14.53,9745
29-Oct-14,14.33,14.85,14.33,14.55,12577
28-Oct-14,14.89,14.89,14.32,14.32,2529
27-Oct-14,14.62,14.87,14.54,14.85,8498
24-Oct-14,14.55,14.58,14.41,14.58,5200
23-Oct-14,14.38,14.75,14.35,14.75,9664
22-Oct-14,14.48,14.55,14.31,14.45,4504
21-Oct-14,14.41,14.59,14.30,14.59,5927
20-Oct-14,14.50,14.50,14.25,14.40,8284
17-Oct-14,14.42,14.59,14.32,14.59,5218
16-Oct-14,14.30,14.50,14.30,14.37,6902
15-Oct-14,14.34,14.50,14.30,14.46,3585
14-Oct-14,14.43,14.53,14.29,14.31,11777
13-Oct-14,14.56,14.56,14.40,14.43,1847
10-Oct-14,14.71,14.71,14.26,14.26,965
9-Oct-14,14.39,14.53,14.25,14.44,5462
8-Oct-14,14.35,14.58,14.25,14.48,25391
7-Oct-14,14.56,14.56,14.35,14.39,6012
6-Oct-14,14.49,14.65,14.49,14.53,3695
3-Oct-14,14.50,14.65,14.33,14.33,5399
2-Oct-14,14.30,14.50,14.30,14.44,9885
1-Oct-14,14.55,14.85,14.30,14.31,12260
30-Sep-14,14.53,14.85,14.52,14.64,5467
29-Sep-14,14.40,14.56,14.35,14.49,3907
26-Sep-14,14.87,14.99,14.35,14.45,19911
25-Sep-14,14.76,15.32,14.35,14.36,13009
24-Sep-14,15.12,15.27,14.94,15.05,13079
23-Sep-14,14.86,15.00,14.85,14.88,7451
22-Sep-14,14.98,14.98,14.85,14.91,9763
19-Sep-14,15.04,15.05,14.67,15.05,23130
18-Sep-14,14.91,15.05,14.77,14.77,4278
17-Sep-14,15.18,15.18,14.87,14.87,5668
16-Sep-14,15.01,15.12,14.92,14.92,1876
15-Sep-14,15.11,15.18,14.90,15.05,8874
12-Sep-14,15.22,15.22,15.04,15.11,6016
11-Sep-14,14.86,15.28,14.86,15.16,15384
10-Sep-14,15.06,15.22,15.06,15.20,15674
9-Sep-14,15.29,15.42,15.00,15.20,35761
8-Sep-14,15.39,15.50,15.23,15.50,10026
5-Sep-14,15.45,15.50,15.29,15.50,13132
4-Sep-14,15.29,15.50,15.25,15.36,8058
3-Sep-14,15.47,15.78,15.30,15.40,8755
2-Sep-14,15.21,15.50,15.18,15.35,9305
29-Aug-14,15.16,15.48,15.14,15.26,12043
28-Aug-14,15.15,15.57,15.01,15.05,27573
27-Aug-14,14.91,15.20,14.74,15.00,21819
26-Aug-14,14.90,14.99,14.63,14.72,15141
25-Aug-14,14.70,14.99,14.42,14.86,16216
22-Aug-14,14.33,14.99,14.24,14.93,24741
21-Aug-14,14.30,14.64,14.14,14.26,19487
20-Aug-14,14.20,14.57,14.15,14.38,28649
19-Aug-14,14.38,14.66,14.23,14.25,13144
18-Aug-14,14.68,15.20,14.06,14.32,16439
15-Aug-14,15.72,15.72,14.43,14.60,11503
14-Aug-14,14.90,14.90,14.61,14.70,18600
13-Aug-14,15.09,15.18,14.70,14.80,24536
12-Aug-14,15.05,15.25,14.86,14.86,11682
11-Aug-14,15.09,15.51,14.80,14.99,15643
8-Aug-14,15.06,15.26,14.76,14.95,13194
7-Aug-14,15.25,15.28,14.91,14.98,21846
6-Aug-14,15.59,15.75,14.72,15.28,11055
5-Aug-14,15.61,15.64,15.28,15.52,20458
4-Aug-14,16.25,16.25,14.72,15.56,17510
1-Aug-14,15.65,15.90,14.30,15.47,59558
31-Jul-14,15.66,15.71,15.35,15.64,28739
30-Jul-14,15.77,15.89,15.59,15.70,19580
29-Jul-14,16.00,16.00,15.55,15.63,38356
28-Jul-14,16.08,16.13,15.79,15.95,9374
25-Jul-14,16.07,16.10,15.80,16.04,11796
24-Jul-14,16.13,16.13,16.04,16.07,3168
23-Jul-14,16.04,16.15,16.00,16.15,62009
22-Jul-14,16.15,16.15,16.00,16.08,23645
21-Jul-14,16.10,16.27,16.06,16.27,13574
18-Jul-14,16.36,16.36,16.10,16.10,18480
17-Jul-14,16.59,16.64,16.17,16.31,20108
16-Jul-14,16.23,16.54,16.14,16.43,16458
15-Jul-14,16.26,16.29,16.18,16.18,2747
14-Jul-14,16.18,16.36,16.15,16.36,9034
11-Jul-14,16.21,16.34,16.11,16.18,5566
10-Jul-14,16.18,16.24,16.09,16.11,4210
9-Jul-14,16.26,16.30,16.03,16.29,50837
8-Jul-14,16.37,16.37,16.11,16.22,3041
7-Jul-14,16.25,16.40,16.11,16.31,19001
3-Jul-14,16.30,16.40,16.13,16.13,4413
2-Jul-14,16.17,16.45,16.15,16.30,8298
