Date,Open,High,Low,Close,Volume
12-Dec-14,53.87,54.61,53.66,53.70,18792851
11-Dec-14,54.59,55.18,54.37,54.43,17007717
10-Dec-14,54.73,55.09,54.21,54.26,23309462
9-Dec-14,54.29,54.90,54.05,54.83,12895842
8-Dec-14,54.95,55.15,54.59,54.77,18939298
5-Dec-14,54.89,55.35,54.85,55.03,14261395
4-Dec-14,54.32,54.64,54.17,54.50,12394349
3-Dec-14,54.17,54.61,54.10,54.39,14781293
2-Dec-14,53.75,54.44,53.75,54.22,12925278
1-Dec-14,54.42,54.59,53.70,53.82,13858518
28-Nov-14,54.32,54.74,54.27,54.48,11054311
26-Nov-14,54.19,54.42,53.97,54.28,11792469
25-Nov-14,54.23,54.28,53.80,53.88,14390418
24-Nov-14,54.06,54.36,53.93,54.10,11028000
21-Nov-14,54.00,54.09,53.70,53.81,14587503
20-Nov-14,53.16,53.56,53.08,53.48,10245906
19-Nov-14,53.26,53.41,52.92,53.36,12490626
18-Nov-14,53.10,53.50,53.03,53.27,12588795
17-Nov-14,53.10,53.49,52.87,53.44,9657905
14-Nov-14,53.39,53.68,53.23,53.35,9488415
13-Nov-14,53.57,53.67,53.12,53.39,13494404
12-Nov-14,53.30,53.67,53.21,53.54,10687892
11-Nov-14,53.88,54.10,53.53,53.58,12520484
10-Nov-14,53.68,53.99,53.62,53.83,11837263
7-Nov-14,54.20,54.25,53.64,53.84,13312695
6-Nov-14,53.55,54.12,53.48,54.06,15328099
5-Nov-14,53.43,53.55,53.13,53.53,14496887
4-Nov-14,53.38,53.49,52.91,53.27,14931507
3-Nov-14,53.22,53.60,53.09,53.37,14349464
31-Oct-14,53.04,53.17,52.78,53.09,21126287
30-Oct-14,52.01,52.62,51.92,52.46,14107594
29-Oct-14,51.84,52.27,51.68,52.17,16546884
28-Oct-14,51.56,51.79,51.30,51.78,13267217
27-Oct-14,51.31,51.36,51.01,51.31,11654467
24-Oct-14,50.58,51.25,50.55,51.20,10888562
23-Oct-14,50.76,50.98,50.49,50.60,14394482
22-Oct-14,50.52,50.69,50.14,50.17,20078209
21-Oct-14,49.63,50.58,49.57,50.45,17660157
20-Oct-14,48.68,49.24,48.61,49.18,15018461
17-Oct-14,48.49,49.02,48.41,48.69,28314046
16-Oct-14,47.18,48.68,47.05,48.13,28977742
15-Oct-14,48.13,48.52,46.44,47.85,38470646
14-Oct-14,49.50,49.86,48.21,48.83,45851953
13-Oct-14,50.61,50.98,50.15,50.20,19298945
10-Oct-14,51.01,51.74,50.61,50.64,20211481
9-Oct-14,52.06,52.21,51.03,51.12,18744283
8-Oct-14,51.25,52.19,51.09,52.15,15267161
7-Oct-14,51.84,51.84,51.06,51.08,11889711
6-Oct-14,52.26,52.46,51.99,52.03,10872282
3-Oct-14,51.78,52.20,51.58,52.10,14018759
2-Oct-14,51.19,51.51,50.89,51.40,15434449
1-Oct-14,51.84,51.96,51.20,51.26,16526969
30-Sep-14,51.80,52.18,51.71,51.87,16669890
29-Sep-14,51.67,51.92,51.38,51.69,9995318
26-Sep-14,51.45,51.92,51.35,51.87,10753403
25-Sep-14,52.10,52.17,51.41,51.41,16684920
24-Sep-14,52.22,52.29,51.88,52.13,18245166
23-Sep-14,52.85,53.04,52.09,52.10,20596549
22-Sep-14,53.26,53.50,52.82,52.90,13445695
19-Sep-14,53.60,53.80,53.22,53.36,22553812
18-Sep-14,52.63,53.38,52.63,53.24,16388313
17-Sep-14,52.39,52.85,52.17,52.51,16919068
16-Sep-14,51.78,52.48,51.78,52.31,10524636
15-Sep-14,51.73,52.16,51.66,51.94,10414820
12-Sep-14,51.67,52.03,51.52,51.70,12575559
11-Sep-14,51.40,51.72,51.32,51.59,9073152
10-Sep-14,51.08,51.62,51.06,51.52,11381362
9-Sep-14,51.23,51.36,51.00,51.07,10744965
8-Sep-14,51.48,51.73,51.34,51.47,7746935
5-Sep-14,51.38,51.65,51.16,51.65,12102464
4-Sep-14,51.49,51.92,51.40,51.57,8306187
3-Sep-14,51.75,52.03,51.40,51.55,7735474
2-Sep-14,51.71,51.71,51.24,51.57,9990261
29-Aug-14,51.26,51.47,51.18,51.44,8863186
28-Aug-14,51.21,51.28,51.00,51.15,7717998
27-Aug-14,51.65,51.70,51.26,51.34,8315784
26-Aug-14,51.57,51.69,51.47,51.56,7027261
