Date,Open,High,Low,Close,Volume
11-Dec-14,37.69,37.98,37.30,37.33,9744044
10-Dec-14,38.23,38.26,37.50,37.74,10584625
9-Dec-14,38.53,39.13,38.08,38.52,12161218
8-Dec-14,39.55,39.58,38.77,38.87,10641920
5-Dec-14,40.15,40.23,39.81,39.98,6906551
4-Dec-14,40.39,40.62,40.04,40.39,8249261
3-Dec-14,40.94,41.59,40.75,41.31,7509276
2-Dec-14,39.96,41.20,39.80,40.72,12995901
1-Dec-14,39.62,39.90,38.87,39.83,14090977
28-Nov-14,39.83,39.93,39.19,39.32,13950741
26-Nov-14,41.61,41.73,41.40,41.59,3443734
25-Nov-14,41.99,42.06,41.52,41.57,6256541
24-Nov-14,42.40,42.47,41.91,42.04,5473982
21-Nov-14,42.28,42.51,42.10,42.42,5918859
20-Nov-14,41.49,41.89,41.46,41.77,3865994
19-Nov-14,41.45,41.72,41.16,41.54,4540469
18-Nov-14,41.27,41.40,40.97,41.19,4250705
17-Nov-14,40.70,41.04,40.51,40.90,4577042
14-Nov-14,40.40,41.03,40.39,40.94,5527044
13-Nov-14,40.76,40.86,40.46,40.67,8573322
12-Nov-14,41.21,41.56,41.12,41.18,6103812
11-Nov-14,41.43,41.92,41.31,41.75,5421831
10-Nov-14,42.07,42.24,41.77,41.86,5072416
7-Nov-14,41.99,42.34,41.94,42.06,5702111
6-Nov-14,42.02,42.11,41.54,41.87,4523661
5-Nov-14,41.48,41.92,41.25,41.77,5316063
4-Nov-14,41.98,42.02,41.40,41.65,8030962
3-Nov-14,42.94,43.08,42.43,42.46,6742514
31-Oct-14,43.06,43.46,42.69,43.46,7493721
30-Oct-14,42.67,43.27,42.44,43.11,6652033
29-Oct-14,43.00,43.50,42.62,42.90,7345318
28-Oct-14,42.31,42.86,42.13,42.84,7428366
27-Oct-14,41.80,42.01,41.53,41.95,7012919
24-Oct-14,42.06,42.21,41.79,42.17,4359039
23-Oct-14,41.97,42.42,41.79,42.17,4950519
22-Oct-14,41.97,42.16,41.56,41.56,5051792
21-Oct-14,41.91,42.38,41.67,42.26,5480154
20-Oct-14,41.10,41.28,40.79,41.16,6357377
17-Oct-14,41.34,41.70,41.23,41.44,11111164
16-Oct-14,39.64,40.98,39.45,40.72,9974783
15-Oct-14,40.48,40.68,39.56,40.63,10664347
14-Oct-14,41.10,41.27,40.48,40.61,8519561
13-Oct-14,41.92,42.10,41.17,41.22,5208819
10-Oct-14,41.62,41.98,41.27,41.54,7416910
9-Oct-14,42.64,42.73,41.95,41.99,6971823
8-Oct-14,42.81,43.23,42.39,43.15,8960358
7-Oct-14,42.94,43.04,42.54,42.56,4439475
6-Oct-14,42.76,43.21,42.73,43.05,4917056
3-Oct-14,42.96,43.04,42.65,42.70,6924934
2-Oct-14,43.41,43.44,42.59,43.16,7934385
1-Oct-14,43.84,44.14,43.57,43.68,4324381
30-Sep-14,44.04,44.22,43.80,43.95,6835588
29-Sep-14,44.25,44.72,44.14,44.54,4460941
26-Sep-14,43.94,44.55,43.81,44.36,7105546
25-Sep-14,44.96,44.99,43.89,44.06,15354957
24-Sep-14,45.82,45.88,45.36,45.51,6237972
