Date,Open,High,Low,Close,Volume
11-Dec-14,63.63,64.67,63.60,63.81,3026519
10-Dec-14,64.82,64.82,63.78,63.95,3578525
9-Dec-14,65.08,66.41,65.06,65.56,2928756
8-Dec-14,66.28,66.41,65.33,65.60,7248144
5-Dec-14,67.28,67.45,66.90,67.13,2967943
4-Dec-14,67.80,67.89,67.17,67.38,2258146
3-Dec-14,68.20,68.98,67.98,68.54,3652604
2-Dec-14,67.93,69.35,67.78,69.35,3217754
1-Dec-14,66.75,67.56,66.43,67.49,3366253
28-Nov-14,67.23,67.39,66.29,66.41,4405993
26-Nov-14,71.27,71.70,70.88,71.37,3712427
25-Nov-14,70.97,71.25,70.42,70.63,2074934
24-Nov-14,71.08,71.37,70.77,71.06,1860591
21-Nov-14,71.59,72.00,71.26,71.80,2165925
20-Nov-14,70.12,71.14,70.09,71.00,2201747
19-Nov-14,70.04,70.11,69.43,69.93,1187743
18-Nov-14,70.26,70.31,69.60,70.03,2862133
17-Nov-14,68.75,69.42,68.65,69.25,2193089
14-Nov-14,68.52,69.44,68.44,69.38,1782254
13-Nov-14,68.28,68.65,68.21,68.41,2225769
12-Nov-14,69.08,69.93,68.83,68.89,2150280
11-Nov-14,69.99,71.13,69.75,71.12,3388515
10-Nov-14,71.37,71.48,70.64,70.71,2056558
7-Nov-14,70.61,71.04,70.30,71.00,2570061
6-Nov-14,69.29,69.56,68.84,69.46,2030064
5-Nov-14,68.44,69.39,68.19,69.23,3373591
4-Nov-14,68.88,69.08,68.37,68.79,3499065
3-Nov-14,70.88,71.03,69.98,70.03,3053527
31-Oct-14,71.38,71.84,70.82,71.79,2204873
30-Oct-14,71.08,71.65,70.78,71.38,1710157
29-Oct-14,71.80,72.20,70.83,71.36,1765764
28-Oct-14,71.02,71.50,70.68,71.50,1483937
27-Oct-14,70.35,70.89,70.03,70.45,1983148
24-Oct-14,70.72,70.90,70.40,70.90,1665565
23-Oct-14,70.43,71.08,70.11,70.83,3660312
22-Oct-14,69.90,70.41,69.54,69.54,4006180
21-Oct-14,69.10,70.27,69.06,70.20,4973970
20-Oct-14,67.60,68.37,67.42,68.32,5281696
