Date,Open,High,Low,Close,Volume
11-Dec-14,51.38,52.20,51.01,51.22,2222055
10-Dec-14,52.81,52.84,51.37,51.75,2466629
9-Dec-14,53.37,54.53,53.24,53.69,1923139
8-Dec-14,54.78,54.87,54.01,54.12,1632975
5-Dec-14,55.50,55.74,55.18,55.48,1838338
4-Dec-14,55.05,55.97,54.68,55.88,2972476
3-Dec-14,56.26,57.11,56.09,56.54,2596946
2-Dec-14,56.93,57.78,56.72,56.93,3664999
1-Dec-14,55.92,56.28,55.40,56.17,1721940
28-Nov-14,55.79,56.00,55.19,55.63,2189702
26-Nov-14,59.69,60.08,59.46,59.74,891907
25-Nov-14,59.68,59.96,59.29,59.74,1021266
24-Nov-14,60.16,60.43,59.88,60.43,1053061
21-Nov-14,60.40,60.69,59.93,59.98,1885582
20-Nov-14,58.14,58.84,58.10,58.77,1326224
19-Nov-14,58.65,58.79,57.93,58.48,916159
18-Nov-14,58.15,58.70,57.89,58.40,1238447
17-Nov-14,57.18,57.53,56.90,57.26,571550
14-Nov-14,56.50,57.49,56.47,57.28,742532
13-Nov-14,56.49,57.02,56.41,56.98,1303249
12-Nov-14,57.19,57.70,56.90,57.17,1207634
11-Nov-14,57.70,58.46,57.42,58.27,670650
10-Nov-14,58.51,58.66,58.11,58.20,691084
7-Nov-14,57.63,58.13,57.24,58.13,2397366
6-Nov-14,58.36,58.50,57.55,58.03,1472710
5-Nov-14,57.12,58.00,56.78,57.70,838109
4-Nov-14,56.89,57.00,56.31,56.92,1080066
3-Nov-14,58.83,58.94,58.02,58.12,1137177
31-Oct-14,59.26,59.89,58.90,59.89,959843
30-Oct-14,58.47,59.55,58.20,59.48,1029091
29-Oct-14,59.46,59.86,58.06,58.64,1188430
28-Oct-14,58.03,58.36,57.70,58.09,1231108
27-Oct-14,56.34,56.97,56.10,56.61,774722
24-Oct-14,57.30,57.48,56.72,57.21,1290863
23-Oct-14,57.25,58.17,57.14,57.70,1418307
22-Oct-14,56.33,56.65,55.80,55.92,1729278
21-Oct-14,56.24,57.11,56.12,56.99,3356655
20-Oct-14,54.67,55.41,54.61,55.41,1269520
17-Oct-14,56.51,56.87,55.64,55.92,1916171
16-Oct-14,53.40,55.34,53.32,54.85,2897530
15-Oct-14,55.31,55.59,54.13,55.28,2349659
14-Oct-14,56.77,57.11,56.00,56.05,2727923
13-Oct-14,57.45,57.73,56.74,56.86,1965928
10-Oct-14,57.13,57.40,56.22,56.45,4689650
9-Oct-14,59.02,59.09,57.94,58.00,1884773
8-Oct-14,59.62,60.55,59.03,60.37,1489393
7-Oct-14,60.15,60.23,59.51,59.58,3142699
6-Oct-14,61.02,61.47,60.72,61.00,987430
3-Oct-14,60.79,61.23,60.51,61.00,1655241
2-Oct-14,62.82,62.96,60.90,62.12,3307865
1-Oct-14,63.69,64.02,63.36,63.67,1229903
30-Sep-14,64.45,65.30,64.25,64.45,1217362
29-Sep-14,63.85,64.11,63.59,63.92,688460
26-Sep-14,63.60,64.85,63.45,64.71,989049
25-Sep-14,63.86,63.89,62.74,63.16,1663155
24-Sep-14,63.49,64.61,63.25,64.28,1843064
23-Sep-14,62.54,63.06,62.53,62.57,1633073
22-Sep-14,63.82,63.90,63.39,63.56,1059021
19-Sep-14,63.60,63.85,63.46,63.57,1045816
18-Sep-14,63.72,64.09,63.57,64.09,1867667
17-Sep-14,64.99,65.13,64.63,64.71,1299277
16-Sep-14,64.10,65.42,64.08,65.42,1947267
15-Sep-14,63.86,64.40,63.70,64.30,906884
12-Sep-14,64.55,64.77,64.21,64.45,782392
11-Sep-14,64.55,65.10,64.35,65.10,966285
10-Sep-14,65.21,65.22,64.79,65.20,552712
9-Sep-14,65.08,65.44,64.90,65.26,451686
8-Sep-14,65.98,66.06,65.24,65.40,707567
5-Sep-14,66.66,66.91,66.28,66.91,432868
4-Sep-14,66.97,67.70,66.48,66.79,890255
3-Sep-14,66.22,66.41,66.01,66.40,831432
2-Sep-14,65.98,66.05,65.20,65.57,667300
29-Aug-14,66.06,66.18,65.45,65.96,682741
28-Aug-14,65.43,65.62,65.24,65.26,572442
27-Aug-14,65.54,65.76,65.18,65.73,711691
26-Aug-14,65.52,66.06,65.49,65.89,1228756
25-Aug-14,64.22,65.04,64.08,65.04,898005
22-Aug-14,63.92,63.94,62.82,63.58,2402612
21-Aug-14,64.49,65.02,64.40,64.89,2593338
20-Aug-14,63.55,64.34,63.48,64.11,1479547
19-Aug-14,64.05,64.48,63.98,64.43,1410767
18-Aug-14,63.78,64.09,63.50,63.99,738982
15-Aug-14,64.50,64.66,63.13,63.83,1461392
14-Aug-14,64.30,64.38,64.00,64.08,940242
13-Aug-14,64.28,64.42,63.93,64.42,652336
12-Aug-14,64.00,64.24,63.60,64.09,1026922
11-Aug-14,65.07,65.62,65.01,65.14,768353
8-Aug-14,64.96,65.41,64.47,65.07,1405515
7-Aug-14,65.43,65.58,64.19,64.52,759430
6-Aug-14,64.28,65.36,64.25,64.88,872964
5-Aug-14,65.07,65.30,64.26,64.43,753354
4-Aug-14,65.09,65.52,64.66,65.48,1405765
1-Aug-14,64.85,65.09,64.04,64.70,2027151
31-Jul-14,65.32,65.32,64.28,64.50,2980416
30-Jul-14,67.96,68.21,66.10,66.63,3050382
29-Jul-14,69.88,70.19,69.32,69.41,1179621
28-Jul-14,69.37,69.64,68.91,69.34,968140
25-Jul-14,69.15,69.27,68.31,68.79,721719
24-Jul-14,69.74,69.97,69.39,69.75,505519
23-Jul-14,69.56,69.59,69.00,69.20,802686
22-Jul-14,68.88,69.32,68.76,69.14,830829
21-Jul-14,67.70,67.82,67.28,67.56,946666
18-Jul-14,67.72,68.13,67.47,68.12,677140
17-Jul-14,67.81,68.42,66.64,66.77,1630892
16-Jul-14,69.00,69.01,68.62,68.62,1209416
15-Jul-14,69.01,69.10,67.79,67.88,1339385
14-Jul-14,69.62,69.86,69.33,69.45,755258
11-Jul-14,69.10,69.23,68.80,68.99,804053
10-Jul-14,68.83,69.28,68.48,69.05,1271358
9-Jul-14,69.98,70.61,69.86,70.16,870171
8-Jul-14,70.93,71.02,70.02,70.37,891652
7-Jul-14,71.17,71.28,70.70,71.06,788918
3-Jul-14,71.97,72.22,71.88,72.10,554706
2-Jul-14,72.38,72.53,72.09,72.32,899306
1-Jul-14,72.85,73.09,72.54,72.77,411949
30-Jun-14,71.64,72.46,71.58,72.20,671322
27-Jun-14,72.15,72.26,71.77,72.20,505264
26-Jun-14,72.46,72.48,71.00,72.19,1000083
25-Jun-14,73.21,73.35,72.69,73.12,760509
24-Jun-14,74.20,74.22,73.20,73.24,2320120
23-Jun-14,73.87,74.12,73.62,73.88,870691
20-Jun-14,73.42,73.56,73.20,73.20,766419
19-Jun-14,72.98,73.35,72.69,72.74,1033570
18-Jun-14,71.74,72.10,71.53,71.98,825671
17-Jun-14,70.55,71.29,70.45,70.98,901021
16-Jun-14,71.49,71.69,71.16,71.42,667915
13-Jun-14,71.63,71.79,71.44,71.60,608561
12-Jun-14,70.61,71.26,70.58,70.92,796576
11-Jun-14,70.21,70.27,69.93,70.13,542611
10-Jun-14,70.15,70.52,70.03,70.52,562726
9-Jun-14,70.48,70.88,70.27,70.66,671913
6-Jun-14,70.76,71.15,70.52,70.98,617207
5-Jun-14,69.69,70.46,69.35,70.30,1541235
4-Jun-14,69.14,69.23,68.55,68.55,1086281
3-Jun-14,69.73,69.95,69.61,69.85,634406
2-Jun-14,70.18,70.20,69.82,70.06,415087
30-May-14,69.63,69.93,69.45,69.45,689458
29-May-14,69.65,69.80,69.49,69.78,689508
28-May-14,69.49,69.83,69.27,69.65,866619
27-May-14,70.91,71.23,70.77,71.01,761568
23-May-14,71.17,71.40,70.98,71.31,624183
22-May-14,70.95,71.21,70.84,71.05,620280
21-May-14,71.30,71.35,70.99,71.09,1346437
20-May-14,70.68,70.82,70.22,70.35,1171632
19-May-14,71.64,71.67,71.09,71.15,1524146
16-May-14,71.06,71.35,70.77,71.00,982574
15-May-14,70.78,70.80,69.91,70.29,1108004
14-May-14,71.01,71.34,70.85,70.95,1507792
13-May-14,71.39,71.46,70.90,71.28,1092111
12-May-14,71.92,72.02,71.59,71.78,1748548
9-May-14,72.20,72.24,71.50,71.62,1039790
8-May-14,72.63,73.52,72.37,72.73,1687349
7-May-14,71.59,72.03,71.32,71.75,1042857
6-May-14,71.08,71.11,70.43,70.62,1051679
5-May-14,70.17,71.05,70.05,70.97,673731
2-May-14,70.44,70.82,70.25,70.47,3239549
1-May-14,70.90,71.00,70.50,70.86,1068115
30-Apr-14,71.12,71.40,70.24,71.24,3414296
29-Apr-14,70.46,71.38,70.27,70.34,2126196
28-Apr-14,69.22,69.79,68.94,69.68,2719821
25-Apr-14,68.65,68.80,68.36,68.50,825462
24-Apr-14,68.72,69.06,68.21,68.51,1434316
23-Apr-14,68.58,68.65,67.72,67.99,810983
22-Apr-14,68.47,68.65,68.35,68.65,977398
21-Apr-14,68.27,68.37,68.11,68.23,342093
17-Apr-14,67.85,68.37,67.80,68.08,1534648
16-Apr-14,67.95,68.00,67.42,67.77,572035
15-Apr-14,68.31,68.31,67.10,67.74,845036
14-Apr-14,67.16,68.03,67.13,67.73,734960
11-Apr-14,66.02,66.64,65.76,66.21,574056
10-Apr-14,66.87,67.00,65.80,65.98,740050
9-Apr-14,67.38,67.56,67.05,67.25,1126429
8-Apr-14,66.08,66.64,65.88,66.53,715176
7-Apr-14,66.22,66.34,65.46,65.59,648524
4-Apr-14,66.52,66.75,66.17,66.26,591156
3-Apr-14,66.01,66.14,65.72,65.81,1061986
2-Apr-14,66.03,66.14,65.67,65.80,512866
1-Apr-14,65.98,66.17,65.85,66.00,554316
31-Mar-14,66.05,66.30,65.42,65.60,621809
28-Mar-14,65.92,66.11,65.71,65.98,570935
27-Mar-14,65.42,65.96,65.34,65.49,624701
