Date,Open,High,Low,Close,Volume
11-Dec-14,39.95,41.40,39.30,40.83,545520
10-Dec-14,42.03,42.09,40.27,40.34,345488
9-Dec-14,40.71,42.70,40.52,41.98,481616
8-Dec-14,41.33,42.28,40.25,41.07,578310
5-Dec-14,39.71,41.60,39.38,41.18,808233
4-Dec-14,39.59,40.65,39.05,40.59,760368
3-Dec-14,39.42,40.14,39.07,39.48,896263
2-Dec-14,38.54,39.26,37.73,39.00,856746
1-Dec-14,37.26,38.10,36.62,37.84,504041
28-Nov-14,37.00,37.92,36.90,37.20,258547
26-Nov-14,36.86,37.85,36.86,37.16,404150
25-Nov-14,36.75,37.08,36.24,36.80,372583
24-Nov-14,36.00,36.50,35.82,36.49,388541
21-Nov-14,36.09,36.16,34.88,36.00,390886
20-Nov-14,34.98,35.81,34.68,35.59,219919
19-Nov-14,35.34,35.87,34.74,35.16,319563
18-Nov-14,34.88,36.40,34.80,35.34,639054
17-Nov-14,33.95,35.07,33.95,34.76,355677
14-Nov-14,34.10,35.00,33.60,34.00,393423
13-Nov-14,34.93,35.19,33.82,34.24,298125
12-Nov-14,34.83,35.42,34.42,34.93,272902
11-Nov-14,34.71,35.17,34.55,34.88,267657
10-Nov-14,35.01,35.43,34.50,34.91,193339
7-Nov-14,33.92,35.00,33.52,34.95,317817
6-Nov-14,33.83,34.60,33.58,34.12,325257
5-Nov-14,34.83,34.97,33.70,33.78,354791
4-Nov-14,33.25,34.45,32.83,34.10,259903
3-Nov-14,33.19,34.47,32.07,33.82,313364
31-Oct-14,34.68,35.40,32.82,33.01,424010
30-Oct-14,33.26,34.16,31.49,33.96,611004
29-Oct-14,33.88,34.30,33.00,33.26,360909
28-Oct-14,34.14,34.58,33.51,34.01,428342
27-Oct-14,33.10,34.36,32.71,33.85,372594
24-Oct-14,33.93,34.33,33.18,33.29,274080
23-Oct-14,31.13,34.59,30.58,33.78,1457435
22-Oct-14,31.01,31.40,30.78,30.98,467958
21-Oct-14,31.19,31.68,30.59,31.01,1570437
20-Oct-14,30.47,32.75,30.47,31.50,462841
17-Oct-14,30.92,31.44,30.18,30.65,331102
16-Oct-14,30.14,31.35,30.14,30.65,773887
