Date,Open,High,Low,Close,Volume
12-Dec-14,43.33,43.70,42.41,42.42,4894431
11-Dec-14,43.41,43.91,43.26,43.35,4677416
10-Dec-14,43.27,43.57,43.20,43.49,13732181
9-Dec-14,44.88,44.92,43.90,44.11,8004100
8-Dec-14,45.85,45.94,45.51,45.56,2807643
5-Dec-14,45.91,46.11,45.74,46.04,2436949
4-Dec-14,46.13,46.30,45.82,45.89,3003185
3-Dec-14,46.74,46.88,46.58,46.71,2383953
2-Dec-14,46.97,47.18,46.87,47.14,2369787
1-Dec-14,46.94,47.08,46.79,46.92,3460633
28-Nov-14,46.53,46.73,46.42,46.45,1409717
26-Nov-14,46.45,46.57,46.30,46.52,2047992
25-Nov-14,46.12,46.48,46.07,46.28,2773746
24-Nov-14,46.39,46.40,46.10,46.27,2596739
21-Nov-14,46.34,46.63,46.26,46.40,2977457
20-Nov-14,46.41,46.55,46.26,46.38,2879646
19-Nov-14,46.22,46.46,45.96,46.25,3216475
18-Nov-14,46.02,46.29,45.98,46.28,3511099
17-Nov-14,45.73,46.03,45.71,45.88,3170524
14-Nov-14,45.67,45.81,45.62,45.74,2591730
13-Nov-14,45.65,45.90,45.55,45.66,3048112
12-Nov-14,45.70,45.81,45.41,45.62,2818998
11-Nov-14,45.62,45.96,45.47,45.96,4136453
10-Nov-14,45.23,45.32,45.08,45.16,2056151
7-Nov-14,44.90,45.00,44.72,44.91,4143220
6-Nov-14,45.11,45.20,44.69,44.75,3261967
5-Nov-14,45.43,45.47,45.08,45.14,3618257
4-Nov-14,45.60,45.65,45.41,45.56,3246585
3-Nov-14,45.49,45.60,45.22,45.49,2828388
31-Oct-14,45.29,45.51,45.16,45.49,3553781
30-Oct-14,44.79,45.24,44.76,45.14,3716155
29-Oct-14,45.15,45.31,44.94,45.08,3080032
28-Oct-14,45.18,45.21,44.91,45.10,3721222
27-Oct-14,45.65,45.71,45.20,45.37,4814002
24-Oct-14,45.64,45.79,45.56,45.79,6918240
23-Oct-14,45.09,45.59,44.95,45.36,5735298
22-Oct-14,44.60,45.04,44.37,44.41,9085947
21-Oct-14,43.09,43.74,43.03,43.63,10021662
20-Oct-14,43.43,43.68,43.30,43.61,4080447
17-Oct-14,43.60,43.85,43.51,43.67,4666065
16-Oct-14,41.97,43.16,41.91,42.88,7657951
15-Oct-14,43.13,43.22,42.30,43.13,7746438
14-Oct-14,43.86,44.11,43.58,43.68,4514308
13-Oct-14,44.34,44.50,43.81,43.83,4150889
10-Oct-14,44.50,44.63,44.10,44.12,8094139
9-Oct-14,45.38,45.59,44.78,44.81,7850926
8-Oct-14,45.08,45.77,45.04,45.77,10802456
7-Oct-14,45.52,45.57,45.20,45.25,5126751
6-Oct-14,46.02,46.22,45.77,45.86,6114626
3-Oct-14,45.38,45.91,45.37,45.74,7105017
2-Oct-14,45.91,45.93,45.30,45.63,8226058
1-Oct-14,46.02,46.09,45.85,45.90,7392718
30-Sep-14,46.05,46.17,45.97,45.97,8177781
29-Sep-14,46.08,46.40,46.03,46.29,7041104
26-Sep-14,46.80,46.83,46.54,46.59,4818608
25-Sep-14,46.96,46.98,46.61,46.68,5098277
24-Sep-14,46.62,47.04,46.59,47.03,9803707
23-Sep-14,46.67,46.93,46.61,46.64,7679811
22-Sep-14,47.50,47.62,47.12,47.32,7845514
19-Sep-14,47.60,47.69,47.37,47.38,7925588
18-Sep-14,47.36,47.45,47.15,47.29,5072899
17-Sep-14,47.26,47.37,47.02,47.10,5022710
16-Sep-14,46.80,47.34,46.77,47.30,2662005
15-Sep-14,46.79,47.14,46.73,46.98,3373022
12-Sep-14,47.14,47.14,46.90,47.06,2962468
11-Sep-14,46.70,46.93,46.45,46.93,4263034
