Date,Open,High,Low,Close,Volume
12-Dec-14,94.69,94.77,93.52,93.52,1606008
11-Dec-14,94.27,95.05,94.17,94.34,962242
10-Dec-14,95.01,95.03,94.06,94.24,1449787
9-Dec-14,95.01,95.17,93.68,94.34,1503065
8-Dec-14,95.69,96.03,95.59,95.77,656311
5-Dec-14,95.40,96.05,95.29,95.83,737815
4-Dec-14,95.79,96.20,95.39,95.77,1332579
3-Dec-14,95.55,95.84,95.04,95.66,1651095
2-Dec-14,95.11,96.10,94.90,95.98,2608213
1-Dec-14,96.85,96.90,96.23,96.39,891028
28-Nov-14,96.51,96.97,96.43,96.65,445731
26-Nov-14,95.10,95.74,95.07,95.56,802607
25-Nov-14,94.73,95.10,94.60,95.04,1795893
24-Nov-14,94.84,95.11,94.57,94.77,759605
21-Nov-14,94.86,95.07,94.62,94.98,1415456
20-Nov-14,95.39,95.61,95.07,95.27,628897
19-Nov-14,95.58,96.02,95.20,95.73,1345955
18-Nov-14,95.07,95.80,94.97,95.58,1020032
17-Nov-14,94.10,94.75,94.04,94.38,1071147
14-Nov-14,93.78,94.15,93.43,93.95,1284629
13-Nov-14,93.67,94.60,93.65,94.38,1242453
12-Nov-14,92.63,93.13,92.48,92.66,639503
11-Nov-14,92.52,92.81,92.11,92.77,990097
10-Nov-14,92.31,92.64,91.89,92.63,833429
7-Nov-14,91.68,91.87,91.19,91.76,1097115
6-Nov-14,92.14,92.60,91.93,92.03,815057
5-Nov-14,92.90,92.93,92.34,92.63,828548
4-Nov-14,92.07,92.22,91.32,91.93,918536
3-Nov-14,91.73,91.85,91.18,91.70,1077027
31-Oct-14,92.42,92.93,92.24,92.69,966997
30-Oct-14,90.71,92.23,90.00,91.95,844841
29-Oct-14,91.69,92.06,90.98,91.31,955088
28-Oct-14,92.67,92.71,91.90,92.35,1858151
27-Oct-14,89.88,90.61,89.82,90.21,811618
24-Oct-14,89.81,90.27,89.69,90.15,616865
23-Oct-14,89.15,89.57,88.87,89.24,1067901
22-Oct-14,88.63,89.08,88.19,88.20,1479174
21-Oct-14,87.61,88.68,87.49,88.61,1319715
20-Oct-14,86.58,87.99,86.49,87.90,1718295
17-Oct-14,86.49,87.24,86.05,86.63,1627577
16-Oct-14,84.27,85.63,84.17,85.02,3134349
15-Oct-14,86.39,86.55,84.69,86.22,2023828
14-Oct-14,87.37,87.84,86.80,86.87,1604197
13-Oct-14,88.60,88.80,87.27,87.35,2072275
10-Oct-14,88.42,88.69,87.69,87.69,1678644
9-Oct-14,90.34,90.56,88.88,89.03,1387724
8-Oct-14,88.95,90.83,88.93,90.76,1344958
7-Oct-14,90.46,90.61,89.68,89.73,2132585
6-Oct-14,92.39,92.77,92.15,92.59,1008131
3-Oct-14,91.97,92.65,91.90,92.37,1611850
2-Oct-14,93.96,93.96,92.63,93.04,1801712
1-Oct-14,94.50,94.51,93.05,93.22,1918407
30-Sep-14,94.04,94.64,93.99,94.13,1931243
29-Sep-14,93.52,93.86,93.33,93.56,835191
26-Sep-14,93.20,93.51,92.70,93.18,1141993
25-Sep-14,93.51,93.64,92.93,92.96,1779748
24-Sep-14,93.40,93.66,93.02,93.53,2843289
23-Sep-14,93.42,93.80,93.36,93.41,1956906
22-Sep-14,94.41,94.46,93.57,94.06,1263999
19-Sep-14,93.84,94.17,93.64,93.90,2460702
18-Sep-14,94.18,94.80,94.15,94.80,769593
17-Sep-14,95.05,95.50,94.61,94.72,1044982
16-Sep-14,93.94,94.60,93.70,94.38,819719
15-Sep-14,93.64,94.39,93.55,94.18,684180
12-Sep-14,93.77,93.87,93.38,93.76,1080256
11-Sep-14,94.14,94.45,93.99,94.36,948151
10-Sep-14,93.61,94.10,93.54,94.01,776931
9-Sep-14,93.88,94.25,93.70,93.83,1120088
8-Sep-14,93.26,93.60,93.07,93.28,1287862
5-Sep-14,92.85,93.42,92.73,93.27,1398582
4-Sep-14,93.81,93.89,92.98,93.33,1569565
3-Sep-14,94.62,94.66,94.15,94.21,1612933
2-Sep-14,92.95,93.72,92.87,93.71,5559876
29-Aug-14,89.79,89.99,89.51,89.84,951997
28-Aug-14,89.29,89.87,89.20,89.73,1240221
27-Aug-14,90.25,90.28,89.80,90.00,1118076
26-Aug-14,89.49,89.95,89.43,89.71,1034389
25-Aug-14,88.83,89.48,88.83,89.11,783584
22-Aug-14,89.24,89.34,88.83,88.95,651408
21-Aug-14,88.98,89.35,88.90,88.95,1985587
20-Aug-14,88.45,88.95,88.34,88.60,503846
19-Aug-14,88.23,88.76,88.06,88.63,891718
18-Aug-14,87.23,87.62,87.23,87.50,587098
15-Aug-14,87.73,87.86,86.26,86.93,871123
14-Aug-14,87.18,87.40,86.97,87.34,431202
13-Aug-14,86.42,86.84,86.16,86.67,625052
12-Aug-14,85.72,86.34,85.65,86.20,1539248
11-Aug-14,86.11,86.17,85.58,85.64,875801
8-Aug-14,84.66,85.52,84.42,85.35,1061470
7-Aug-14,85.52,85.67,85.16,85.25,1141459
6-Aug-14,85.29,86.30,85.29,86.14,901247
5-Aug-14,87.25,87.29,86.35,86.46,851670
4-Aug-14,87.29,87.29,86.52,87.03,1230139
1-Aug-14,86.09,87.36,86.09,86.90,1378568
31-Jul-14,87.79,88.00,86.94,86.94,1077489
30-Jul-14,88.57,88.63,88.00,88.44,1010899
29-Jul-14,88.52,88.57,88.12,88.21,843461
28-Jul-14,88.16,88.16,87.50,87.77,1185592
25-Jul-14,88.77,88.77,88.21,88.41,693176
24-Jul-14,89.21,89.35,88.96,89.13,732315
23-Jul-14,89.01,89.20,88.68,89.02,1020500
22-Jul-14,89.01,89.41,88.92,89.26,947313
21-Jul-14,88.45,88.93,88.38,88.59,1037564
18-Jul-14,88.59,89.01,88.35,88.82,1530506
17-Jul-14,88.39,89.15,88.13,88.53,2275359
16-Jul-14,90.44,90.44,89.98,90.04,843367
15-Jul-14,90.59,90.74,89.95,90.14,1031108
14-Jul-14,90.23,90.43,90.11,90.25,629439
11-Jul-14,88.87,89.72,88.79,89.52,915359
10-Jul-14,89.08,89.87,89.08,89.81,856131
9-Jul-14,89.26,90.11,89.25,90.07,840250
8-Jul-14,90.40,90.43,89.39,89.52,1823135
7-Jul-14,90.42,90.55,90.20,90.29,1211156
3-Jul-14,91.06,91.46,90.95,91.43,803243
2-Jul-14,91.19,91.53,91.03,91.49,477846
1-Jul-14,91.26,91.66,91.11,91.47,713926
30-Jun-14,90.53,90.66,90.21,90.53,1151859
27-Jun-14,90.12,90.54,89.91,90.38,729545
