Date,Open,High,Low,Close,Volume
11-Dec-14,56.75,57.28,56.50,56.84,5499824
10-Dec-14,57.41,57.41,56.08,56.39,3501795
9-Dec-14,57.07,57.38,56.00,57.34,3015964
8-Dec-14,57.40,57.64,57.05,57.29,3242572
5-Dec-14,57.46,58.10,57.43,57.88,2053677
4-Dec-14,57.34,57.99,57.32,57.50,2509909
3-Dec-14,56.92,57.58,56.92,57.28,2381594
2-Dec-14,56.78,57.29,56.70,56.83,2549741
1-Dec-14,56.85,57.13,56.70,56.71,2520842
28-Nov-14,56.86,57.24,56.81,56.98,1683558
26-Nov-14,56.52,57.08,56.52,56.81,1673455
25-Nov-14,57.08,57.12,56.42,56.58,2873453
24-Nov-14,57.22,57.44,56.66,57.23,3398256
21-Nov-14,57.22,57.81,56.94,57.40,3629721
20-Nov-14,57.03,57.38,56.64,56.72,4201422
19-Nov-14,57.42,57.56,57.11,57.25,2420235
18-Nov-14,57.27,58.61,56.99,57.23,5779023
17-Nov-14,56.70,58.05,56.70,57.24,3703930
14-Nov-14,57.37,57.75,56.80,57.07,3025952
13-Nov-14,58.00,58.50,57.02,57.17,5445625
12-Nov-14,57.74,58.56,57.72,58.44,4960629
11-Nov-14,57.82,58.60,57.81,58.19,4507352
10-Nov-14,57.92,58.38,57.46,58.04,5593696
7-Nov-14,57.07,58.18,56.95,57.70,6540523
6-Nov-14,57.96,58.87,57.78,58.72,6665321
5-Nov-14,57.77,58.13,57.63,57.79,4555420
4-Nov-14,57.49,58.25,57.03,57.99,5788511
3-Nov-14,55.69,58.03,55.67,57.80,8213970
31-Oct-14,56.89,57.10,55.92,56.47,7775399
30-Oct-14,53.92,56.70,53.89,56.47,8363717
29-Oct-14,54.77,55.48,54.07,54.49,3626734
28-Oct-14,54.34,55.00,54.13,54.80,2932172
27-Oct-14,53.41,54.48,53.41,54.00,2769217
24-Oct-14,53.72,54.15,53.01,53.62,2917570
23-Oct-14,53.53,54.06,53.41,53.60,2465002
22-Oct-14,52.99,54.05,52.88,53.21,3597287
21-Oct-14,52.19,53.30,51.72,53.26,4399925
20-Oct-14,51.56,52.20,51.14,51.69,4270993
17-Oct-14,52.01,53.00,50.73,51.14,4843152
16-Oct-14,48.92,52.23,48.74,51.56,4844524
15-Oct-14,48.94,50.10,47.36,50.09,5015625
14-Oct-14,50.02,50.70,49.07,49.90,4027622
13-Oct-14,52.14,52.14,49.82,49.86,6081392
10-Oct-14,52.40,52.65,51.73,51.81,3324963
9-Oct-14,54.07,54.38,52.50,52.82,3847803
8-Oct-14,52.31,54.13,51.89,54.08,5074691
7-Oct-14,53.76,53.87,52.69,52.73,2587628
6-Oct-14,54.66,55.06,53.32,53.47,2765876
3-Oct-14,54.59,55.14,54.54,54.93,3385664
2-Oct-14,53.13,55.02,53.11,54.23,6604481
1-Oct-14,53.79,53.95,52.85,52.99,3060217
30-Sep-14,53.77,54.25,53.46,53.75,4321157
29-Sep-14,53.15,54.24,53.04,53.56,3087024
26-Sep-14,53.46,53.68,53.03,53.55,2930747
25-Sep-14,53.73,54.00,53.28,53.46,3194771
24-Sep-14,52.36,53.98,52.01,53.74,5090759
23-Sep-14,51.07,52.65,50.98,52.38,3786388
22-Sep-14,51.86,52.01,50.97,51.05,3887350
19-Sep-14,52.33,52.57,52.05,52.16,5402875
18-Sep-14,52.55,52.58,52.22,52.41,2442492
17-Sep-14,52.23,52.52,51.85,52.37,2576711
16-Sep-14,51.37,52.52,51.15,52.23,3730979
15-Sep-14,51.83,52.05,51.27,51.38,2836122
12-Sep-14,51.49,52.11,51.12,52.08,3170434
11-Sep-14,50.93,51.52,50.87,51.46,5970843
10-Sep-14,51.15,51.35,50.39,51.10,5423184
9-Sep-14,52.43,52.48,50.94,51.02,4222094
8-Sep-14,52.22,52.73,51.53,52.58,3307105
5-Sep-14,51.56,52.17,50.92,51.98,3890372
4-Sep-14,52.64,52.74,50.97,51.15,6485566
3-Sep-14,52.32,52.97,52.02,52.64,2364327
2-Sep-14,52.34,52.98,52.05,52.14,2772457
29-Aug-14,52.40,52.54,52.00,52.52,1464547
28-Aug-14,51.99,52.22,51.89,52.10,1662862
27-Aug-14,52.34,52.85,52.14,52.28,1447384
26-Aug-14,52.28,52.61,52.06,52.22,1679119
25-Aug-14,53.26,53.37,52.16,52.23,3698658
22-Aug-14,53.61,54.00,53.35,53.45,1752643
21-Aug-14,53.22,53.97,53.17,53.61,2756653
20-Aug-14,52.51,53.40,52.42,52.99,2644219
19-Aug-14,52.05,52.84,52.04,52.79,3437015
18-Aug-14,51.89,52.43,51.87,52.39,3497331
15-Aug-14,52.23,52.55,51.35,51.71,7386624
14-Aug-14,50.99,52.37,50.99,52.34,4031410
13-Aug-14,51.14,51.24,50.88,50.97,3900065
12-Aug-14,51.25,51.65,50.89,50.94,2770205
11-Aug-14,51.04,51.61,50.93,51.29,3025453
8-Aug-14,51.07,51.36,50.64,51.06,4569586
7-Aug-14,52.18,52.81,51.55,51.64,2785123
6-Aug-14,52.40,52.47,51.80,52.07,3187015
5-Aug-14,52.79,53.03,52.36,52.78,2687110
4-Aug-14,54.16,54.23,52.75,52.80,5496109
1-Aug-14,53.62,54.75,53.44,54.02,6061683
31-Jul-14,54.58,54.58,53.04,53.50,8039806
30-Jul-14,54.56,55.05,54.34,54.88,4409313
29-Jul-14,54.57,54.89,54.32,54.32,3346393
28-Jul-14,54.44,54.70,54.06,54.40,3167027
25-Jul-14,54.25,54.55,54.00,54.47,2062488
24-Jul-14,55.30,55.70,54.36,54.40,2904129
23-Jul-14,55.00,55.36,54.48,55.05,6215565
22-Jul-14,54.46,55.33,54.45,54.95,2454769
21-Jul-14,54.41,54.59,54.17,54.30,3050801
18-Jul-14,53.84,54.80,53.74,54.73,2123118
17-Jul-14,53.55,54.40,53.32,53.65,4406168
16-Jul-14,54.57,54.79,53.91,53.93,3929662
15-Jul-14,54.72,54.89,54.30,54.40,2331371
14-Jul-14,54.74,55.04,54.36,54.64,4897909
11-Jul-14,53.73,54.55,53.52,54.46,3186626
10-Jul-14,53.32,54.13,53.21,54.00,3723344
9-Jul-14,53.59,54.06,53.45,53.87,2068843
8-Jul-14,53.70,53.80,53.08,53.26,3203618
7-Jul-14,54.34,54.47,53.76,54.20,3982341
3-Jul-14,54.44,55.24,54.44,54.89,3785813
2-Jul-14,53.76,54.72,53.63,54.42,4878492
1-Jul-14,52.63,53.97,52.57,53.56,5625080
30-Jun-14,52.75,52.90,52.30,52.42,2163171
27-Jun-14,52.29,53.02,52.26,52.83,1918188
26-Jun-14,52.74,52.80,52.14,52.45,4715721
25-Jun-14,52.10,52.81,51.95,52.75,4723924
24-Jun-14,52.56,52.60,51.96,52.07,5443925
23-Jun-14,52.77,52.99,52.37,52.59,4333949
20-Jun-14,53.29,53.49,52.58,52.97,4342273
19-Jun-14,53.15,53.46,52.81,53.18,6060564
18-Jun-14,52.03,53.12,51.54,53.02,12150827
17-Jun-14,51.73,51.78,50.99,51.45,7066692
16-Jun-14,51.84,51.98,51.50,51.70,2976868
13-Jun-14,51.54,52.09,51.50,51.98,2505262
12-Jun-14,51.82,52.11,51.64,51.82,3079947
11-Jun-14,51.70,52.37,51.70,51.98,4431976
10-Jun-14,51.05,52.16,50.98,52.00,4283352
9-Jun-14,51.45,51.77,50.95,51.12,3851660
6-Jun-14,51.00,51.38,50.50,51.08,2086656
5-Jun-14,51.06,51.20,50.46,50.95,2367481
4-Jun-14,51.50,51.61,50.45,50.82,3748973
3-Jun-14,51.88,52.00,51.40,51.52,2499414
2-Jun-14,50.70,52.21,50.38,51.95,8596606
