Date,Open,High,Low,Close,Volume
12-Dec-14,76.57,76.79,75.80,75.85,4770109
11-Dec-14,77.49,77.56,76.60,76.82,3434470
10-Dec-14,78.21,78.43,77.24,77.46,2967117
9-Dec-14,78.61,79.27,78.21,78.97,2613681
8-Dec-14,79.54,80.06,78.97,79.15,2230187
5-Dec-14,79.93,80.08,79.05,79.27,3137970
4-Dec-14,79.98,80.14,79.73,79.95,1821207
3-Dec-14,80.12,80.41,79.64,79.90,1951128
2-Dec-14,80.71,81.21,79.59,80.06,5064198
1-Dec-14,82.81,83.19,82.15,82.25,3145147
28-Nov-14,82.46,83.58,82.46,83.09,1355033
26-Nov-14,82.56,82.84,82.14,82.51,2255818
25-Nov-14,82.17,82.56,81.77,82.38,2859953
24-Nov-14,81.91,82.36,81.73,82.17,5980926
21-Nov-14,81.76,81.85,81.21,81.70,2810846
20-Nov-14,80.97,81.33,80.60,80.98,3473754
19-Nov-14,80.42,81.00,80.27,80.77,1960987
18-Nov-14,80.19,80.73,79.34,80.52,1640470
17-Nov-14,80.05,80.30,79.86,80.12,1537768
14-Nov-14,80.17,80.45,79.92,80.39,1615621
13-Nov-14,80.57,81.24,80.14,80.21,3152881
12-Nov-14,79.21,80.63,78.88,80.51,4824778
11-Nov-14,80.09,80.09,79.40,79.61,2158616
10-Nov-14,79.21,80.01,78.95,79.91,3299342
7-Nov-14,79.80,80.00,79.06,79.80,2793089
6-Nov-14,79.43,80.04,79.35,79.86,4319705
5-Nov-14,79.15,79.41,78.27,79.34,8780717
4-Nov-14,78.95,79.17,77.69,78.16,4831079
3-Nov-14,78.71,79.82,78.28,78.99,5068443
31-Oct-14,81.49,82.39,76.16,78.12,27304794
30-Oct-14,82.09,83.50,82.09,83.24,3887298
29-Oct-14,83.54,84.28,82.44,82.50,3540915
28-Oct-14,84.91,84.97,83.20,83.54,3509761
27-Oct-14,84.82,84.82,83.97,84.41,2052553
24-Oct-14,84.31,84.94,84.09,84.75,1587267
23-Oct-14,83.95,84.65,83.39,84.29,4482371
22-Oct-14,84.53,84.90,83.52,83.57,3538254
21-Oct-14,83.11,84.92,82.94,84.52,7060110
20-Oct-14,80.58,82.51,80.45,82.46,1966682
17-Oct-14,79.79,81.13,79.74,80.84,2202726
16-Oct-14,78.76,79.63,78.28,79.25,2425352
15-Oct-14,80.18,80.78,77.88,79.54,5851052
14-Oct-14,79.76,82.03,79.75,80.80,4050905
13-Oct-14,79.37,79.73,78.44,78.47,2057437
10-Oct-14,80.55,80.96,79.25,79.33,2346308
9-Oct-14,81.58,81.76,79.98,80.52,4145567
8-Oct-14,81.00,81.67,80.49,81.50,3698213
7-Oct-14,81.10,81.44,80.66,80.69,2280469
6-Oct-14,81.48,81.67,81.00,81.25,1995137
3-Oct-14,80.73,81.46,80.41,81.21,3001198
2-Oct-14,80.05,80.55,79.36,80.50,2273447
1-Oct-14,80.77,80.84,79.50,79.98,2787464
30-Sep-14,79.87,80.79,79.76,80.53,2462755
29-Sep-14,79.32,79.94,79.08,79.81,1251679
26-Sep-14,79.25,79.93,78.88,79.80,1872547
25-Sep-14,79.37,79.62,78.39,78.95,3847086
24-Sep-14,79.34,79.98,79.16,79.75,2328160
23-Sep-14,78.59,79.87,78.44,79.38,2296804
22-Sep-14,79.42,79.63,78.52,78.58,1702521
19-Sep-14,80.49,80.73,79.68,79.74,2889966
18-Sep-14,80.10,80.65,79.54,80.18,3052675
17-Sep-14,79.14,80.04,78.92,79.72,3432712
16-Sep-14,78.20,79.26,78.09,79.22,1553504
15-Sep-14,78.85,79.04,78.02,78.39,1151481
12-Sep-14,80.25,80.30,78.42,78.79,3436478
11-Sep-14,79.83,80.53,79.55,80.45,1896346
10-Sep-14,79.45,80.00,79.07,79.92,1643741
9-Sep-14,80.33,80.33,79.18,79.70,1320049
8-Sep-14,80.71,81.00,80.19,80.53,790990
5-Sep-14,80.17,80.76,79.93,80.64,1267584
4-Sep-14,79.94,80.65,79.80,80.24,1145935
3-Sep-14,79.59,80.29,79.52,79.97,1147926
2-Sep-14,79.77,79.80,79.22,79.53,1180038
29-Aug-14,79.95,79.95,79.42,79.51,991244
28-Aug-14,79.62,79.93,79.25,79.75,907240
27-Aug-14,79.69,80.18,79.55,79.72,1630161
26-Aug-14,79.67,79.89,79.27,79.57,1478469
25-Aug-14,79.70,79.85,78.96,79.56,1428057
22-Aug-14,79.85,80.25,79.20,79.48,2151233
21-Aug-14,78.50,80.52,78.39,80.00,4409351
20-Aug-14,78.25,78.67,77.42,78.55,902400
19-Aug-14,78.59,78.73,78.18,78.34,1040053
18-Aug-14,78.90,78.97,78.36,78.53,1804110
