Date,Open,High,Low,Close,Volume
12-Dec-14,55.00,55.98,54.98,55.35,11362784
11-Dec-14,55.73,56.44,55.48,55.90,10512325
10-Dec-14,56.02,56.34,55.32,55.57,12191951
9-Dec-14,55.94,56.55,55.65,56.19,10193355
8-Dec-14,56.28,56.69,56.02,56.36,9571275
5-Dec-14,56.31,56.72,56.17,56.34,8003730
4-Dec-14,56.85,57.23,56.10,56.38,15055831
3-Dec-14,57.06,57.25,56.52,57.14,10378817
2-Dec-14,56.49,57.16,56.30,57.02,9934522
1-Dec-14,56.97,56.97,56.28,56.60,11586053
28-Nov-14,57.28,57.28,56.78,57.04,5535482
26-Nov-14,56.77,56.91,56.44,56.86,9200870
25-Nov-14,55.64,56.69,55.40,56.62,17547359
24-Nov-14,54.32,55.04,54.26,55.02,12913007
21-Nov-14,54.85,55.19,53.86,54.08,18891880
20-Nov-14,54.37,54.47,54.05,54.38,9240533
19-Nov-14,54.33,54.41,53.91,54.38,16690506
18-Nov-14,54.20,54.58,53.77,54.42,13817808
17-Nov-14,54.01,54.35,53.69,54.14,13055748
14-Nov-14,54.48,54.48,53.77,54.10,10018571
13-Nov-14,53.70,54.61,53.40,54.30,20752848
12-Nov-14,53.00,53.99,52.88,53.60,28903154
11-Nov-14,52.88,53.09,51.56,52.96,38985286
10-Nov-14,55.24,55.25,51.79,52.95,66126987
7-Nov-14,55.45,55.45,54.40,55.15,17522157
6-Nov-14,55.27,55.45,54.60,55.38,10014636
5-Nov-14,54.87,55.24,54.46,55.09,9417877
4-Nov-14,55.62,55.73,54.20,54.63,13622173
3-Nov-14,55.26,55.81,55.26,55.60,11794761
31-Oct-14,55.69,55.69,54.76,55.35,17693143
30-Oct-14,54.42,54.90,54.08,54.35,13216693
29-Oct-14,54.59,54.93,54.35,54.90,16643700
28-Oct-14,54.15,55.04,54.15,54.73,14529619
27-Oct-14,54.21,54.54,53.82,54.05,13283159
24-Oct-14,53.69,54.67,53.43,54.26,22404915
23-Oct-14,52.18,53.52,51.90,53.22,21880241
22-Oct-14,52.19,52.60,51.35,51.49,22382164
21-Oct-14,51.68,52.78,51.62,52.19,28118734
20-Oct-14,50.68,51.46,50.22,51.30,14195466
17-Oct-14,49.98,51.50,49.98,50.68,29237987
16-Oct-14,50.10,50.26,49.53,49.59,44782416
15-Oct-14,50.76,51.28,49.33,50.85,41247521
14-Oct-14,52.05,52.35,51.36,51.47,26904289
13-Oct-14,52.33,53.03,51.57,51.64,22123351
10-Oct-14,53.43,53.86,52.59,52.62,27577380
9-Oct-14,54.77,54.78,53.29,53.32,18968537
8-Oct-14,53.39,55.20,53.13,54.77,22685839
7-Oct-14,53.18,53.52,52.63,53.22,12404522
6-Oct-14,53.74,53.90,53.25,53.39,8218322
3-Oct-14,52.88,54.04,52.88,53.65,14501444
2-Oct-14,52.83,52.97,51.64,52.84,18053160
1-Oct-14,53.69,53.72,52.75,52.93,15980041
30-Sep-14,54.23,54.49,53.68,53.78,14718524
29-Sep-14,53.67,54.33,53.41,54.16,12347263
26-Sep-14,53.78,54.28,53.69,54.24,10536373
25-Sep-14,54.82,54.84,53.76,53.94,13863388
24-Sep-14,55.13,55.14,54.14,54.86,16100116
23-Sep-14,55.99,55.99,54.95,54.97,13310987
22-Sep-14,56.55,56.69,55.39,55.86,14929970
19-Sep-14,57.26,57.27,56.50,56.74,20877611
18-Sep-14,57.10,57.36,56.73,56.85,14570572
17-Sep-14,57.24,57.37,56.81,57.09,10050919
16-Sep-14,57.06,57.27,56.78,57.23,9120390
15-Sep-14,57.16,57.49,56.88,57.02,13048115
12-Sep-14,56.90,57.14,56.67,57.08,11287831
11-Sep-14,56.87,57.13,56.56,56.98,9697029
10-Sep-14,56.54,57.05,56.04,56.91,13539018
9-Sep-14,55.74,56.77,55.64,56.61,20056596
8-Sep-14,55.51,56.00,55.42,55.88,11805382
5-Sep-14,55.00,55.79,54.87,55.70,14203048
4-Sep-14,55.24,55.39,54.83,54.88,13184436
3-Sep-14,54.74,55.05,54.62,54.87,8950147
2-Sep-14,54.71,54.97,54.35,54.78,9535087
29-Aug-14,54.88,54.93,54.43,54.72,6758601
28-Aug-14,54.32,54.66,54.28,54.52,5571082
27-Aug-14,54.69,54.90,54.36,54.56,8134736
26-Aug-14,54.75,54.75,54.33,54.56,9240090
25-Aug-14,54.35,54.73,54.20,54.65,9416154
22-Aug-14,54.27,54.59,53.92,54.18,8144556
21-Aug-14,54.64,54.83,54.35,54.44,7474740
20-Aug-14,54.31,54.78,54.31,54.64,7338671
