Date,Open,High,Low,Close,Volume
12-Dec-14,32.52,32.58,32.16,32.16,30070435
11-Dec-14,32.62,33.05,32.56,32.71,28024732
10-Dec-14,32.89,32.89,32.41,32.49,34766706
9-Dec-14,33.31,33.33,32.40,32.89,59255535
8-Dec-14,33.98,34.09,33.85,33.88,17080013
5-Dec-14,33.88,33.95,33.72,33.94,18893390
4-Dec-14,34.08,34.10,33.75,33.91,23030671
3-Dec-14,34.25,34.26,33.92,34.00,30742679
2-Dec-14,34.89,35.01,34.17,34.29,36930521
1-Dec-14,35.28,35.37,34.91,35.06,19951045
28-Nov-14,35.28,35.57,35.23,35.38,12650457
26-Nov-14,34.89,35.20,34.86,35.13,14148710
25-Nov-14,34.65,34.85,34.30,34.82,29342100
24-Nov-14,34.98,35.10,34.22,34.70,36683616
21-Nov-14,35.48,35.50,34.99,35.28,28262559
20-Nov-14,35.35,35.44,35.19,35.28,12256061
19-Nov-14,35.63,35.66,35.18,35.37,19342898
18-Nov-14,35.77,35.87,35.62,35.72,17124511
17-Nov-14,35.86,35.90,35.63,35.85,12958772
14-Nov-14,35.64,36.15,35.60,35.90,20554339
13-Nov-14,35.37,35.90,35.29,35.61,20900773
12-Nov-14,35.05,35.44,34.96,35.40,18749961
11-Nov-14,35.15,35.15,34.80,35.10,12299550
10-Nov-14,35.06,35.14,34.66,35.12,17921697
7-Nov-14,34.71,34.97,34.53,34.91,17983738
6-Nov-14,34.90,34.95,34.52,34.72,17443725
5-Nov-14,34.94,34.96,34.71,34.92,15587507
4-Nov-14,34.97,35.08,34.64,34.79,17839552
3-Nov-14,34.97,35.03,34.61,34.84,22214516
31-Oct-14,34.76,34.85,34.58,34.84,24030347
30-Oct-14,34.27,34.55,34.12,34.51,18482243
29-Oct-14,34.40,34.65,34.17,34.40,22630029
28-Oct-14,34.31,34.41,34.08,34.33,26041391
27-Oct-14,33.88,34.24,33.86,34.11,25358821
24-Oct-14,33.62,33.94,33.32,33.87,29836923
23-Oct-14,34.04,34.11,33.45,33.66,55879187
22-Oct-14,34.78,34.79,34.38,34.50,24963094
21-Oct-14,34.27,34.66,34.09,34.62,21771789
20-Oct-14,34.08,34.29,33.84,34.28,15258656
17-Oct-14,33.76,34.20,33.66,34.08,24470612
16-Oct-14,33.63,33.83,33.25,33.64,29222033
15-Oct-14,33.68,33.98,33.10,33.87,48562781
14-Oct-14,33.88,34.06,33.72,33.84,22638108
13-Oct-14,34.17,34.34,33.82,33.82,23641790
10-Oct-14,34.76,34.80,34.24,34.25,28949332
9-Oct-14,35.10,35.22,34.60,34.66,21612927
